Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
SCIENTEX SUNGAI DUA,Tasek Gelugor,TASEK GELUGOR,PENANG | TASEK GELUGOR,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,331800.0,304.0,593
BANDAR PUTRA,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,590900.0,322.0,519
TAMAN LAGENDA TROPIKA TAPAH,Chenderiang,CHENDERIANG,PERAK | CHENDERIANG,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,229954.0,130.0,414
SCIENTEX JASIN MUTIARA,Bemban,BEMBAN,MELAKA | BEMBAN,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,255600.0,218.0,391
TAMAN LAGENDA AMAN,Tapah,TAPAH,PERAK | TAPAH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,219300.0,168.0,363
TAMAN IMPIAN EMAS,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,738000.0,328.0,349
TAMAN KOTA MASAI,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,345000.0,323.0,319
TAMAN LAGENDA TELUK INTAN,Teluk Intan,TELUK INTAN,PERAK | TELUK INTAN,Perak,PERAK,Leasehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,236594.0,126.0,309
BANDAR SCIENTEX JASIN,Jasin,JASIN,MELAKA | JASIN,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,180000.0,188.0,301
BANDAR BUKIT RAJA,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,793888.0,496.0,292
TAMAN IMPIANA KESANG,Bemban,BEMBAN,MELAKA | BEMBAN,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,128730.0,92.0,288
TAMAN BUKIT INDAH,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,695000.0,425.0,259
TAMAN NUSA SERI CENGAL 2 & 3,Nilai,NILAI,NEGERI SEMBILAN | NILAI,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,359000.0,194.0,210
BANDAR DATO' ONN,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,750000.0,450.0,203
TAMAN UNIVERSITI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,394000.0,307.0,202
TAMAN JOHOR JAYA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,326.0,195
TAMAN PUTERA INDAH,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,400000.0,214.0,193
TAMAN KIRANA,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,170800.0,125.0,188
TAMAN BESTARI INDAH,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,832000.0,471.0,184
TAMAN MUTIARA RINI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,672000.0,396.0,183
TAMAN BUKIT PERDANA,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Cluster House,Cluster House,Cluster House,Landed,343400.0,140.0,181
TAMAN SCIENTEX,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,380000.0,387.0,177
BANDAR BARU PERMAS JAYA,Permas Jaya,PERMAS JAYA,JOHOR | PERMAS JAYA,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,500000.0,392.0,173
TAMAN DAYA,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,504000.0,331.0,172
HORIZON HILLS,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1180000.0,500.0,171
BUKIT SENTOSA,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Freehold,"Bungalow, Terrace House","Bungalow, Terrace House",Bungalow,Landed,290000.0,232.0,166
D'Summit Residences,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,452900.0,602.0,165
BANDAR BARU SRI KLEBANG,Chemor,CHEMOR,PERAK | CHEMOR,Perak,PERAK,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,472800.0,235.0,164
TAMAN DESA TEBRAU,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,930000.0,470.0,163
BANDAR BARU KANGKAR PULAI,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Mixed,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,553200.0,297.0,155
TAMAN AROWANA [LENGGENG],Lenggeng,LENGGENG,NEGERI SEMBILAN | LENGGENG,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,476240.0,310.0,152
TAMAN PERLING,Perling,PERLING,JOHOR | PERLING,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,527500.0,286.0,152
LAYANGGKASA,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,551650.0,384.0,149
INDAHPURA,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,680000.0,377.0,145
TAMAN BUNGA RAYA,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,200000.0,186.0,144
TAMAN SEPADU JAYA (D'HALONA PLACE),Penaga,PENAGA,PENANG | PENAGA,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,307000.0,277.0,141
TAMAN SENTOSA,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,357.0,141
TAMAN ANJUNG SUNGAI PETAI,Sungei Petai,SUNGEI PETAI,MELAKA | SUNGEI PETAI,Melaka,MELAKA,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,298800.0,194.0,140
SEKSYEN 30 SHAH ALAM,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,495000.0,308.0,140
TAMAN PUTERI WANGSA,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,294.0,138
TAMAN SERAI RESIDENSI,Padang Serai,PADANG SERAI,KEDAH | PADANG SERAI,Kedah,KEDAH,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,199800.0,143.0,136
TANJUNG PUTERI RESORT,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,"Bungalow, Terrace House","Bungalow, Terrace House",Bungalow,Landed,397800.0,258.0,135
BANDAR BARU SETIA AWAN PERDANA,Sitiawan,SITIAWAN,PERAK | SITIAWAN,Perak,PERAK,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,245000.0,139.0,128
TAMAN SRI IMPIAN / BANDAR SRI IMPIAN,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,419444.0,200.0,124
BANDAR SERI COALFIELDS,Ijok,IJOK,SELANGOR | IJOK,Selangor,SELANGOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,913800.0,432.0,123
TAMAN TASIK UTAMA,Bukit Katil,BUKIT KATIL,MELAKA | BUKIT KATIL,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,270000.0,175.0,123
PULAU INDAH,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,350000.0,252.0,122
TAMAN UNGKU TUN AMINAH,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,530000.0,322.0,122
ELMINA WEST,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1060888.0,550.0,120
TAMAN SETIA INDAH,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,610000.0,382.0,118
SEKSYEN 29 SHAH ALAM,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,472800.0,309.0,118
TAMAN BANANG JAYA,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,618500.0,388.0,118
TAMAN SAUJANA,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,150000.0,107.0,117
Flat Taman Ungku Tun Aminah,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Flat,Flat,Flat,High-Rise,140000.0,283.0,117
MERIDIN EAST,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,580000.0,414.0,115
TAMAN SKUDAI BARU,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,435000.0,325.0,114
TAMAN MUTIARA BESTARI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Cluster House, Semi D","Semi D, Cluster House",Semi D,Landed,1114310.0,483.0,114
BUKIT BERUNTUNG,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,222.0,113
TAMAN RINTING,Masai,MASAI,JOHOR | MASAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,430000.0,279.0,111
SETIA TROPIKA,Tampoi,TAMPOI,JOHOR | TAMPOI,Johor,JOHOR,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,911890.0,435.0,110
CALEDONIA,Ijok,IJOK,SELANGOR | IJOK,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,509800.0,392.0,109
ALAM NUSANTARA,Setia Alam,SETIA ALAM,SELANGOR | SETIA ALAM,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,872999.0,496.0,109
LAMAN ASPIRASI (BANTING),Banting,BANTING,SELANGOR | BANTING,Selangor,SELANGOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,180000.0,129.0,104
BANDAR MAHKOTA CHERAS,Cheras,CHERAS,SELANGOR | CHERAS,Selangor,SELANGOR,Freehold,"Terrace House, Semi D, Town House","Semi D, Terrace House, Town House",Semi D,Landed,640000.0,422.0,103
PRIMA @ SITIAWAN,Sitiawan,SITIAWAN,PERAK | SITIAWAN,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,270610.0,193.0,102
BANDAR MAHKOTA BANTING (BANDAR BARU BROOKLANDS),Tanjong Duabelas,TANJONG DUABELAS,SELANGOR | TANJONG DUABELAS,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,258.0,102
OUG Parklane,Jalan Klang Lama (Old Klang Road),JALAN KLANG LAMA (OLD KLANG ROAD),KUALA LUMPUR | JALAN KLANG LAMA (OLD KLANG ROAD),Kuala Lumpur,KUALA LUMPUR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,580000.0,611.0,102
ALAM IMPIAN,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,887800.0,488.0,99
BANDAR TASIK PUTERI,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,281.0,93
BANDAR UTAMA,Bandar Utama,BANDAR UTAMA,SELANGOR | BANDAR UTAMA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1510000.0,849.0,92
PERWIRA SERI ISKANDAR,Seri Iskandar,SERI ISKANDAR,PERAK | SERI ISKANDAR,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,145000.0,104.0,92
TAMAN AUSTIN DUTA,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,781000.0,493.0,92
TAMAN PULAI INDAH,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,460000.0,321.0,92
BANDAR BARU LAPANGAN,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,588800.0,369.0,91
TAMAN PUTERIMAS (KLUANG),Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,250750.0,119.0,89
D'ART HILLS RESIDENCE,Senai,SENAI,JOHOR | SENAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,839000.0,591.0,89
TAMAN DESA BERTAM,Tanjong Minyak,TANJONG MINYAK,MELAKA | TANJONG MINYAK,Melaka,MELAKA,Freehold,"Semi D, Cluster House","Semi D, Cluster House",Semi D,Landed,453000.0,185.0,89
TAMAN REM,Kota Tinggi,KOTA TINGGI,JOHOR | KOTA TINGGI,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,246600.0,160.0,89
TAMAN PULAI MUTIARA 2,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,564230.0,252.0,88
KOTA BAYUEMAS,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,804000.0,446.0,88
TAMAN KOTA IMPIAN @ IMPIAN HILLS,Kota Tinggi,KOTA TINGGI,JOHOR | KOTA TINGGI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,713000.0,405.0,87
EKA HEIGHTS - PRECINCT 3B,Labu,LABU,NEGERI SEMBILAN | LABU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,400000.0,267.0,87
BANDAR SPRINGHILL,Jimah,JIMAH,NEGERI SEMBILAN | JIMAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,220000.0,179.0,86
TAMAN HIJAUAN VALDOR,Sungai Bakap,SUNGAI BAKAP,PENANG | SUNGAI BAKAP,Penang,PENANG,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,675000.0,241.0,85
TAMAN SRI GOMBAK,Batu Caves,BATU CAVES,SELANGOR | BATU CAVES,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,556.0,85
Flora Damansara Apartment,Damansara Perdana,DAMANSARA PERDANA,SELANGOR | DAMANSARA PERDANA,Selangor,SELANGOR,Leasehold,Apartment,Apartment,Apartment,High-Rise,380000.0,447.0,85
TAMAN KOTA SRI AHMAD SHAH,Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,582222.0,334.0,84
TAMAN MESRA IMPIAN,Kampar,KAMPAR,PERAK | KAMPAR,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,300000.0,214.0,83
S2 HEIGHTS,Seremban 2,SEREMBAN 2,NEGERI SEMBILAN | SEREMBAN 2,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,775800.0,464.0,83
TAMAN SERI MAHKOTA,Sitiawan,SITIAWAN,PERAK | SITIAWAN,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,250000.0,179.0,82
TAMAN KINDING AKASIA,Ipoh,IPOH,PERAK | IPOH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,186.0,82
TAMAN SHOREA HARTAMAS,Pasir Panjang,PASIR PANJANG,NEGERI SEMBILAN | PASIR PANJANG,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,250000.0,183.0,82
PRIMA D'MARINA,Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,431167.0,271.0,82
BUKIT JELUTONG,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Freehold,"Semi D, Terrace House, Bungalow","Bungalow, Semi D, Terrace House",Bungalow,Landed,980000.0,437.0,81
BERIS MERAGA,Kijal,KIJAL,TERENGGANU | KIJAL,Terengganu,TERENGGANU,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,320000.0,126.0,81
BAYU SUTERA - PRECINCT 3B,Jimah,JIMAH,NEGERI SEMBILAN | JIMAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,675888.0,483.0,80
BANDAR IOI,Segamat,SEGAMAT,JOHOR | SEGAMAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,349350.0,208.0,80
BANDAR COUNTRY HOMES,Rawang,RAWANG,SELANGOR | RAWANG,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,420000.0,313.0,79
PER. PERMATANG BADAK PERDANA (PL 177521),Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,325000.0,232.0,78
EKA HEIGHTS - PRECINCT 3A,Labu,LABU,NEGERI SEMBILAN | LABU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,380000.0,267.0,78
TAMAN PUTRI KULAI,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,292.0,78
TAMAN CENTURY,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,609000.0,327.0,78
BANDAR BARU UDA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Mixed,Terrace House,Terrace House,Terrace House,Landed,500000.0,279.0,78
BANDAR SAUJANA PUTRA,Tanjong Duabelas,TANJONG DUABELAS,SELANGOR | TANJONG DUABELAS,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,339.0,78
TAMAN PUNCAK JALIL,Seri Kembangan,SERI KEMBANGAN,SELANGOR | SERI KEMBANGAN,Selangor,SELANGOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,580000.0,400.0,78
TAMAN NADA EMBUN,Rantau,RANTAU,NEGERI SEMBILAN | RANTAU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,522000.0,368.0,77
RESIDENSI MESRA,Gurun,GURUN,KEDAH | GURUN,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,232000.0,141.0,76
TAMAN MEGAH RIA,Masai,MASAI,JOHOR | MASAI,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,436440.0,320.0,76
TAMAN SAFFRON,Serendah,SERENDAH,SELANGOR | SERENDAH,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,437100.0,357.0,75
SERENIA CITY,Dengkil,DENGKIL,SELANGOR | DENGKIL,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,828888.0,532.0,75
PUTRA HEIGHTS,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,855000.0,448.0,75
TAMAN AROWANA,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,276800.0,230.0,74
KOTA KEMUNING,Shah Alam,SHAH ALAM,SELANGOR | SHAH ALAM,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,844000.0,417.0,74
BANDAR PUTERI KLANG,Klang,KLANG,SELANGOR | KLANG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,682500.0,434.0,74
BANDAR PUCHONG JAYA,Puchong,PUCHONG,SELANGOR | PUCHONG,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,725000.0,513.0,74
TAMAN PONDEROSA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Semi D,Semi D,Semi D,Landed,1110900.0,535.0,74
TAMAN DESA JAYA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,440000.0,338.0,73
LAMAN SETIA,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,650000.0,389.0,73
TAMAN PELANGI INDAH,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,600000.0,308.0,73
TAMAN PUTERI,Padang Serai,PADANG SERAI,KEDAH | PADANG SERAI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,204000.0,159.0,72
TAMAN SENGKANG,Pasir Panjang,PASIR PANJANG,NEGERI SEMBILAN | PASIR PANJANG,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,279000.0,192.0,72
Mkh Boulevard,Kajang,KAJANG,SELANGOR | KAJANG,Selangor,SELANGOR,Leasehold,Service Residence,Service Residence,Service Residence,High-Rise,299000.0,503.0,72
LA CASA LUNAS,Lunas,LUNAS,KEDAH | LUNAS,Kedah,KEDAH,Freehold,Semi D,Semi D,Semi D,Landed,516888.0,227.0,71
TAMAN RAIA UTAMA,Gopeng,GOPENG,PERAK | GOPENG,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,268000.0,192.0,71
MEKARSARI UNGGUL (FASA III),Kepala Batas,KEPALA BATAS,PENANG | KEPALA BATAS,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,613000.0,366.0,71
PUNCAK ALAM,Bandar Puncak Alam,BANDAR PUNCAK ALAM,SELANGOR | BANDAR PUNCAK ALAM,Selangor,SELANGOR,Leasehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,400000.0,288.0,71
Palmyra Residences,Bangi,BANGI,SELANGOR | BANGI,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,432000.0,508.0,71
TAMAN SERI AUSTIN,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,719000.0,464.0,70
BANDAR SRI ASTANA,Sungai Petani,SUNGAI PETANI,KEDAH | SUNGAI PETANI,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,260000.0,177.0,70
BANDAR BARU SRI DAMANSARA,Bandar Sri Damansara,BANDAR SRI DAMANSARA,SELANGOR | BANDAR SRI DAMANSARA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,894000.0,564.0,70
TAMAN DESA CEMERLANG,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,495000.0,357.0,70
BANDAR DAMAI PERDANA,Cheras,CHERAS,SELANGOR | CHERAS,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,775000.0,543.0,70
SERELYN AVENUE,Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Leasehold,Terrace House,Terrace House,Terrace House,Landed,388000.0,231.0,69
TAMAN PELANGI,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,750000.0,325.0,69
TAMAN SETIA MUTIARA,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,150000.0,107.0,69
BANDAR CEMERLANG,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Cluster House, Semi D","Semi D, Cluster House",Semi D,Landed,828000.0,345.0,69
SETIA IMPIAN 3,Setia Alam,SETIA ALAM,SELANGOR | SETIA ALAM,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,930000.0,584.0,69
ECO BOTANIC,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,1260000.0,580.0,68
TAMAN PULAI MUTIARA,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,550000.0,426.0,68
GOODVIEW HEIGHTS,Kajang,KAJANG,SELANGOR | KAJANG,Selangor,SELANGOR,Freehold,"Terrace House, Town House","Terrace House, Town House",Terrace House,Landed,768800.0,542.0,67
TAMAN KERSANI,Kuala Pilah,KUALA PILAH,NEGERI SEMBILAN | KUALA PILAH,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,298000.0,192.0,67
