Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
Austin Suites (Permata Austin),Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,Apartment,Apartment,Apartment,High-Rise,330000.0,462.0,16
Putra Majestik,Jalan Ipoh,JALAN IPOH,KUALA LUMPUR | JALAN IPOH,Kuala Lumpur,KUALA LUMPUR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,500000.0,494.0,16
Seri Baiduri,Setia Alam,SETIA ALAM,SELANGOR | SETIA ALAM,Selangor,SELANGOR,Freehold,Apartment,Apartment,Apartment,High-Rise,357500.0,386.0,16
The Tamarind,Tanjong Tokong,TANJONG TOKONG,PENANG | TANJONG TOKONG,Penang,PENANG,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,855000.0,767.0,16
Delima Intan Apartment,Bukit Minyak,BUKIT MINYAK,PENANG | BUKIT MINYAK,Penang,PENANG,Freehold,Apartment,Apartment,Apartment,High-Rise,280000.0,356.0,16
Taman Jati,Kulim,KULIM,KEDAH | KULIM,Kedah,KEDAH,Freehold,Flat,Flat,Flat,High-Rise,120000.0,206.0,16
Endah Ria,Sri Petaling,SRI PETALING,KUALA LUMPUR | SRI PETALING,Kuala Lumpur,KUALA LUMPUR,Leasehold,Condominium,Condominium,Condominium,High-Rise,307500.0,320.0,16
Putatan Platinum Apartment,Penampang,PENAMPANG,SABAH | PENAMPANG,Sabah,SABAH,Freehold,Apartment,Apartment,Apartment,High-Rise,294000.0,346.0,16
Aragreens,Ara Damansara,ARA DAMANSARA,SELANGOR | ARA DAMANSARA,Selangor,SELANGOR,Freehold,Service Residence,Service Residence,Service Residence,High-Rise,1672200.0,874.0,16
Vista Mutiara,Kepong,KEPONG,KUALA LUMPUR | KEPONG,Kuala Lumpur,KUALA LUMPUR,Leasehold,Apartment,Apartment,Apartment,High-Rise,379000.0,364.0,16
TAMAN PINGGIRAN PUTRA SEKSYEN 2,Seri Kembangan,SERI KEMBANGAN,SELANGOR | SERI KEMBANGAN,Selangor,SELANGOR,Leasehold,"Terrace House, Bungalow","Bungalow, Terrace House",Bungalow,Landed,590000.0,291.0,15
TAMAN AMANAH,Tanjong Duabelas,TANJONG DUABELAS,SELANGOR | TANJONG DUABELAS,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,425000.0,278.0,15
TAMAN DESA INDAH,Nilai,NILAI,NEGERI SEMBILAN | NILAI,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,393000.0,239.0,15
TAMAN TUNKU SARINA,Jitra,JITRA,KEDAH | JITRA,Kedah,KEDAH,Freehold,Terrace House,Terrace House,Terrace House,Landed,325000.0,182.0,15
SS17,Subang Jaya,SUBANG JAYA,SELANGOR | SUBANG JAYA,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,880000.0,471.0,15
NUSARI AMAN 1,Bandar Sri Sendayan,BANDAR SRI SENDAYAN,NEGERI SEMBILAN | BANDAR SRI SENDAYAN,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Terrace House,Terrace House,Terrace House,Landed,345000.0,247.0,15
HILL PARK HOME,Kajang,KAJANG,SELANGOR | KAJANG,Selangor,SELANGOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,600000.0,407.0,15
TAMAN BUKIT SKUDAI @ D CARLTON HEIGHTS,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Mixed,Cluster House,Cluster House,Cluster House,Landed,1050000.0,415.0,15
"P/L 2366, 2367, 3694, 3752 & 4169",Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,468880.0,305.0,15
"TAMAN SRI MEWAH, MERU",Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,610000.0,441.0,15
KOTA SERIBONG,Padang Enggang,PADANG ENGGANG,KELANTAN | PADANG ENGGANG,Kelantan,KELANTAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,470000.0,361.0,15
TAMAN TASEK GELUGOR UTAMA (SCIENTEX),Tasek Gelugor,TASEK GELUGOR,PENANG | TASEK GELUGOR,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,310000.0,294.0,15
REGENT PARK,Miri,MIRI,SARAWAK | MIRI,Sarawak,SARAWAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,338888.0,233.0,15
TAMAN SERI WAWASAN 3,Teras,TERAS,PAHANG | TERAS,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,538000.0,299.0,15
TAMAN PLATINUM (RESIDENSI GATE),Dengkil,DENGKIL,SELANGOR | DENGKIL,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,737800.0,460.0,15
SALAK SOUTH GARDEN (TAMAN SALAK SELATAN),Salak Selatan,SALAK SELATAN,KUALA LUMPUR | SALAK SELATAN,Kuala Lumpur,KUALA LUMPUR,Freehold,Terrace House,Terrace House,Terrace House,Landed,550000.0,349.0,15
TAMAN KARISMA IMPIAN,Sitiawan,SITIAWAN,PERAK | SITIAWAN,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,298800.0,193.0,15
PINGGIRAN PUTRA 4 (PL 3178),Kuantan,KUANTAN,PAHANG | KUANTAN,Pahang,PAHANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,335000.0,157.0,15
TAMAN INTAN DUYUNG,Port Dickson,PORT DICKSON,NEGERI SEMBILAN | PORT DICKSON,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,220000.0,150.0,15
TAMAN EHSAN JAYA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,778000.0,455.0,15
TAMAN SENAWANG PERDANA,Rantau,RANTAU,NEGERI SEMBILAN | RANTAU,Negeri Sembilan,NEGERI SEMBILAN,Freehold,Bungalow,Bungalow,Bungalow,Landed,715000.0,172.0,15
TAMAN SRI PERDANA,Lahad Datu,LAHAD DATU,SABAH | LAHAD DATU,Sabah,SABAH,Leasehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,550000.0,191.0,15
TAMAN BUKIT FLORA,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,245000.0,236.0,15
TAMAN KOTA LAKSAMANA SEKSYEN 1,Melaka City,MELAKA CITY,MELAKA | MELAKA CITY,Melaka,MELAKA,Leasehold,"Town House, Terrace House","Terrace House, Town House",Terrace House,Landed,470000.0,279.0,15
SETIA PULAU MUTIARA,Bayan Lepas,BAYAN LEPAS,PENANG | BAYAN LEPAS,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,1331000.0,686.0,15
TAMAN DESA DAMAI,Bukit Mertajam,BUKIT MERTAJAM,PENANG | BUKIT MERTAJAM,Penang,PENANG,Freehold,"Semi D, Terrace House","Semi D, Terrace House",Semi D,Landed,499800.0,281.0,15
TAMAN MAYANG LESTARI,Jasin,JASIN,MELAKA | JASIN,Melaka,MELAKA,Leasehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,285000.0,164.0,15
TAMAN SRI JAYA 1 & 2,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,250000.0,169.0,15
BANDAR BARU KANGKAR PULAI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Leasehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,498000.0,239.0,15
TAMAN BERSATU,Simpang Pulai,SIMPANG PULAI,PERAK | SIMPANG PULAI,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,199000.0,204.0,15
TAMAN BUNGA RAYA,Setapak,SETAPAK,KUALA LUMPUR | SETAPAK,Kuala Lumpur,KUALA LUMPUR,Freehold,Terrace House,Terrace House,Terrace House,Landed,520000.0,363.0,15
