Model,Group_CV_RMSE_mean,Group_CV_RMSE_std,Group_CV_MAE_mean,Group_CV_R2_mean,Ordinary_CV_RMSE_mean,RMSE_train,RMSE_test,MAE_test,R2_test,Gap_RMSE,Group_CV_Rank,Test_Rank,Selected_Model
XGBoost,140351.85208831675,17261.58579537098,89430.42519397772,0.7313148917112073,137855.9125660448,98770.64563515718,140060.17109552183,89105.52019398703,0.6940134230912189,41289.525460364646,1,1,True
Random Forest,146812.28583589013,20921.610937045974,93464.10544652084,0.7064504889841876,143575.13937016137,75853.57592133041,142279.1579348431,92894.95122944901,0.6842410694490706,66425.58201351269,2,3,False
LightGBM,146916.84373063757,18373.941507007235,94792.31299340825,0.7056510877905503,148421.66536256767,103817.04348588704,141492.69845036604,93203.47541855315,0.6877221874550604,37675.65496447899,3,2,False
Decision Tree (Baseline),187718.2728067108,26327.226443212774,118366.40302251885,0.5142517634334357,180399.80701569287,470.27720665258363,181144.64622756638,117688.20758483034,0.48817195852215045,180674.3690209138,4,4,False
